objectPath,objectName,objectType,id
/Explore,CG_CHAMPS,Project,4nNMTyqcmRQiC8uhfx4qM0
/Explore/CG_CHAMPS,m_order_file_bronze,DTEMPLATE,aqteSF7gl2yiudFNEfVjG4
/Explore/CG_CHAMPS,Cleanse_payment,CLEANSE,6EYvUFy5NKFk0DTIDKYz66
/Explore/CG_CHAMPS,mct_order_silver_gold,MTT,122jf2SXoSlb8HStHiVh8n
/Explore/CG_CHAMPS,mct_cust_silver_gold,MTT,bSg0UBrfXM9cJj4yXsWHKf
/Explore/CG_CHAMPS,m_cars_bronze_silver,DTEMPLATE,b9EaOfqWZCpezBnHMTLSy8
/Explore/CG_CHAMPS,mct_payment_raw_bronze,MTT,7KuE25xrdsGb9E2ZMUmEA2
/Explore/CG_CHAMPS,mct_cust_raw_bronze,MTT,5i7Lrp3Uq0CgEKPwDKwRo3
/Explore/CG_CHAMPS,m_payment_bronze_silver,DTEMPLATE,aRkqICQkz1KeGhhUG97mQI
/Explore/CG_CHAMPS,mct_cars_bronze_silver,MTT,5SSyVzLlaHneR77RerrmSO
/Explore/CG_CHAMPS,m_cust_silver_gold,DTEMPLATE,8M9zfH6NuYfeR0zugiOHGv
/SYS,ff_gcs,Connection,aRwwe4SK0WviqxnwPJzDQv
/Explore/CG_CHAMPS,mct_cars_silver_gold,MTT,549VIdMf91VdG44Sy9BXMQ
/Explore/CG_CHAMPS,mct_cust_bronze_silver,MTT,9Xm4VqwlEYNk1uIj1RjvgN
/SYS,cg-hackathon,AgentGroup,6foaYNZJEYGbfh8vym9Zoh
/Explore/CG_CHAMPS,m_cust_file_bronze,DTEMPLATE,7FAPL10xc49iyqvH67dDIy
/Explore/CG_CHAMPS,m_cust_bronze_silver,DTEMPLATE,2RQgwwHLbnNj5hwUxLgE02
/Explore/CG_CHAMPS,mct_payment_bronze_silver,MTT,hqq4fc3iP83etpwTruRmyR
/SYS,conn_bigquery_bronze,Connection,2Y1uWjzSks9k4LBBMssRo9
/Explore/CG_CHAMPS,mct_order_file_bronze,MTT,2AZiXV5c0QMkv8GpGxRZ0S
/Explore/CG_CHAMPS,m_order_silver_gold,DTEMPLATE,5UPvFGxflRjfFzE339iH40
/Explore/CG_CHAMPS,m_payment_silver_gold,DTEMPLATE,axHwUmHzUUhicVA4NDhEsC
/Explore/CG_CHAMPS,m_cars_silver_gold,DTEMPLATE,0VbYhISFZPlkiCVta4JXAq
/Explore/CG_CHAMPS,tf_o2c,TASKFLOW,477jJJqKukvgMpdXmqZNuR
/Explore/CG_CHAMPS,m_cars_raw_bronze,DTEMPLATE,jx3iC2CFmi5cDhd7IojzW7
/Explore/CG_CHAMPS,mct_payment_silver_gold,MTT,0cSdCwgqTaPiUhKcxuWMkH
/Explore/CG_CHAMPS,m_payment_file_bronze,DTEMPLATE,4QCIVRC6EaKil20eeALkqS
/Explore/CG_CHAMPS,mct_cars_raw_bronze,MTT,5spVk4LIvoPkFGKBB7t5oS
/Explore/CG_CHAMPS,mct_order_bronze_silver,MTT,k4mm92KahYogtDQ3prPYmM
/Explore/CG_CHAMPS,Cleanse_cust,CLEANSE,2TrBU75RGXNjvGkKEhJYO6